,miRNA,disease
1,['hsa-let-7a'],['Breast Neoplasms']
2,['hsa-let-7b'],['Breast Neoplasms']
3,['hsa-let-7c'],['Breast Neoplasms']
4,['hsa-let-7d'],['Breast Neoplasms']
5,['hsa-let-7e'],['Breast Neoplasms']
6,['hsa-let-7f'],['Breast Neoplasms']
7,['hsa-let-7g'],['Breast Neoplasms']
8,['hsa-let-7i'],['Breast Neoplasms']
9,['hsa-mir-1'],['Breast Neoplasms']
10,['hsa-mir-100'],['Breast Neoplasms']
11,['hsa-mir-101'],['Breast Neoplasms']
12,['hsa-mir-105'],['Breast Neoplasms']
13,['hsa-mir-106a'],['Breast Neoplasms']
14,['hsa-mir-106b'],['Breast Neoplasms']
15,['hsa-mir-107'],['Breast Neoplasms']
16,['hsa-mir-10a'],['Breast Neoplasms']
17,['hsa-mir-10b'],['Breast Neoplasms']
18,['hsa-mir-122'],['Breast Neoplasms']
19,['hsa-mir-124'],['Breast Neoplasms']
20,['hsa-mir-125a'],['Breast Neoplasms']
21,['hsa-mir-126'],['Breast Neoplasms']
22,['hsa-mir-127'],['Breast Neoplasms']
23,['hsa-mir-128'],['Breast Neoplasms']
24,['hsa-mir-129'],['Breast Neoplasms']
25,['hsa-mir-130a'],['Breast Neoplasms']
26,['hsa-mir-130b'],['Breast Neoplasms']
27,['hsa-mir-132'],['Breast Neoplasms']
28,['hsa-mir-133a'],['Breast Neoplasms']
29,['hsa-mir-133b'],['Breast Neoplasms']
30,['hsa-mir-134'],['Breast Neoplasms']
31,['hsa-mir-135a'],['Breast Neoplasms']
32,['hsa-mir-135b'],['Breast Neoplasms']
33,['hsa-mir-136'],['Breast Neoplasms']
34,['hsa-mir-137'],['Breast Neoplasms']
35,['hsa-mir-138'],['Breast Neoplasms']
36,['hsa-mir-139'],['Breast Neoplasms']
37,['hsa-mir-140'],['Breast Neoplasms']
38,['hsa-mir-141'],['Breast Neoplasms']
39,['hsa-mir-143'],['Breast Neoplasms']
40,['hsa-mir-144'],['Breast Neoplasms']
41,['hsa-mir-145'],['Breast Neoplasms']
42,['hsa-mir-146a'],['Breast Neoplasms']
43,['hsa-mir-146b'],['Breast Neoplasms']
44,['hsa-mir-148a'],['Breast Neoplasms']
45,['hsa-mir-148b'],['Breast Neoplasms']
46,['hsa-mir-149'],['Breast Neoplasms']
47,['hsa-mir-150'],['Breast Neoplasms']
48,['hsa-mir-152'],['Breast Neoplasms']
49,['hsa-mir-153'],['Breast Neoplasms']
50,['hsa-mir-154'],['Breast Neoplasms']
51,['hsa-mir-155'],['Breast Neoplasms']
52,['hsa-mir-15a'],['Breast Neoplasms']
53,['hsa-mir-15b'],['Breast Neoplasms']
54,['hsa-mir-16'],['Breast Neoplasms']
55,['hsa-mir-181a'],['Breast Neoplasms']
56,['hsa-mir-181b'],['Breast Neoplasms']
