,miRNA,disease
1,['hsa-let-7a'],['Breast Neoplasms']
2,['hsa-let-7d'],['Breast Neoplasms']
3,['hsa-let-7f'],['Breast Neoplasms']
4,['hsa-let-7i'],['Breast Neoplasms']
5,['hsa-mir-101'],['Breast Neoplasms']
6,['hsa-mir-10b'],['Breast Neoplasms']
7,['hsa-mir-122a'],['Breast Neoplasms']
8,['hsa-mir-124a'],['Breast Neoplasms']
9,['hsa-mir-125a'],['Breast Neoplasms']
10,['hsa-mir-125b'],['Breast Neoplasms']
11,['hsa-mir-126'],['Breast Neoplasms']
12,['hsa-mir-127'],['Breast Neoplasms']
13,['hsa-mir-128a'],['Breast Neoplasms']
14,['hsa-mir-128b'],['Breast Neoplasms']
15,['hsa-mir-136'],['Breast Neoplasms']
16,['hsa-mir-141'],['Breast Neoplasms']
17,['hsa-mir-143'],['Breast Neoplasms']
18,['hsa-mir-145'],['Breast Neoplasms']
19,['hsa-mir-146a'],['Breast Neoplasms']
20,['hsa-mir-146b'],['Breast Neoplasms']
21,['hsa-mir-148a'],['Breast Neoplasms']
22,['hsa-mir-149'],['Breast Neoplasms']
23,['hsa-mir-152'],['Breast Neoplasms']
24,['hsa-mir-155'],['Breast Neoplasms']
25,['hsa-mir-17'],['Breast Neoplasms']
26,['hsa-mir-170'],['Breast Neoplasms']
27,['hsa-mir-181a'],['Breast Neoplasms']
28,['hsa-mir-181b'],['Breast Neoplasms']
29,['hsa-mir-181d'],['Breast Neoplasms']
30,['hsa-mir-182'],['Breast Neoplasms']
31,['hsa-mir-18a'],['Breast Neoplasms']
32,['hsa-mir-191'],['Breast Neoplasms']
33,['hsa-mir-193b'],['Breast Neoplasms']
34,['hsa-mir-195'],['Breast Neoplasms']
35,['hsa-mir-196a'],['Breast Neoplasms']
36,['hsa-mir-200a'],['Breast Neoplasms']
37,['hsa-mir-200b'],['Breast Neoplasms']
38,['hsa-mir-200c'],['Breast Neoplasms']
39,['hsa-mir-202'],['Breast Neoplasms']
40,['hsa-mir-203'],['Breast Neoplasms']
41,['hsa-mir-204'],['Breast Neoplasms']
42,['hsa-mir-205'],['Breast Neoplasms']
43,['hsa-mir-206'],['Breast Neoplasms']
44,['hsa-mir-20a'],['Breast Neoplasms']
45,['hsa-mir-21'],['Breast Neoplasms']
46,['hsa-mir-210'],['Breast Neoplasms']
47,['hsa-mir-213'],['Breast Neoplasms']
48,['hsa-mir-22'],['Breast Neoplasms']
49,['hsa-mir-221'],['Breast Neoplasms']
50,['hsa-mir-222'],['Breast Neoplasms']
51,['hsa-mir-26a'],['Breast Neoplasms']
52,['hsa-mir-27a'],['Breast Neoplasms']
53,['hsa-mir-29b'],['Breast Neoplasms']
54,['hsa-mir-29c'],['Breast Neoplasms']
55,['hsa-mir-30a'],['Breast Neoplasms']
56,['hsa-mir-31'],['Breast Neoplasms']
57,['hsa-mir-31a'],['Breast Neoplasms']
58,['hsa-mir-320'],['Breast Neoplasms']
59,['hsa-mir-328'],['Breast Neoplasms']
60,['hsa-mir-335'],['Breast Neoplasms']
61,['hsa-mir-355'],['Breast Neoplasms']
62,['hsa-mir-365'],['Breast Neoplasms']
63,['hsa-mir-373'],['Breast Neoplasms']
64,['hsa-mir-429'],['Breast Neoplasms']
65,['hsa-mir-451'],['Breast Neoplasms']
66,['hsa-mir-497'],['Breast Neoplasms']
67,['hsa-mir-510'],['Breast Neoplasms']
68,['hsa-mir-516'],['Breast Neoplasms']
69,['hsa-mir-520c'],['Breast Neoplasms']
70,['hsa-mir-661'],['Breast Neoplasms']
71,['hsa-mir-663'],['Breast Neoplasms']
72,['hsa-mir-7'],['Breast Neoplasms']
73,['hsa-mir-9'],['Breast Neoplasms']
74,['hsa-mir-96'],['Breast Neoplasms']
75,['hsa-mir-98'],['Breast Neoplasms']
76,['hsa-let-7a'],['Colonic Neoplasms']
77,['hsa-let-7b'],['Colonic Neoplasms']
78,['hsa-let-7f'],['Colonic Neoplasms']
79,['hsa-let-7g'],['Colonic Neoplasms']
80,['hsa-mir-1'],['Colonic Neoplasms']
81,['hsa-mir-106a'],['Colonic Neoplasms']
82,['hsa-mir-106b'],['Colonic Neoplasms']
83,['hsa-mir-107'],['Colonic Neoplasms']
84,['hsa-mir-10a'],['Colonic Neoplasms']
85,['hsa-mir-10b'],['Colonic Neoplasms']
86,['hsa-mir-124a'],['Colonic Neoplasms']
87,['hsa-mir-125a'],['Colonic Neoplasms']
88,['hsa-mir-126'],['Colonic Neoplasms']
89,['hsa-mir-127'],['Colonic Neoplasms']
90,['hsa-mir-128b'],['Colonic Neoplasms']
91,['hsa-mir-129'],['Colonic Neoplasms']
92,['hsa-mir-130b'],['Colonic Neoplasms']
93,['hsa-mir-132'],['Colonic Neoplasms']
94,['hsa-mir-133a'],['Colonic Neoplasms']
95,['hsa-mir-133b'],['Colonic Neoplasms']
96,['hsa-mir-135b'],['Colonic Neoplasms']
97,['hsa-mir-137'],['Colonic Neoplasms']
98,['hsa-mir-139'],['Colonic Neoplasms']
99,['hsa-mir-140'],['Colonic Neoplasms']
100,['hsa-mir-141'],['Colonic Neoplasms']
101,['hsa-mir-143'],['Colonic Neoplasms']
102,['hsa-mir-145'],['Colonic Neoplasms']
103,['hsa-mir-155'],['Colonic Neoplasms']
104,['hsa-mir-15b'],['Colonic Neoplasms']
105,['hsa-mir-17'],['Colonic Neoplasms']
106,['hsa-mir-181a'],['Colonic Neoplasms']
107,['hsa-mir-181b'],['Colonic Neoplasms']
108,['hsa-mir-182'],['Colonic Neoplasms']
109,['hsa-mir-183'],['Colonic Neoplasms']
110,['hsa-mir-18a'],['Colonic Neoplasms']
111,['hsa-mir-191'],['Colonic Neoplasms']
112,['hsa-mir-192'],['Colonic Neoplasms']
113,['hsa-mir-194'],['Colonic Neoplasms']
114,['hsa-mir-195'],['Colonic Neoplasms']
115,['hsa-mir-196a'],['Colonic Neoplasms']
116,['hsa-mir-19a'],['Colonic Neoplasms']
117,['hsa-mir-19b'],['Colonic Neoplasms']
